date max mean median min stdv sum topic n1 no st rt
20170803 11.59 1.89 1.49 1.47 0.78 9926.6 RTS115 0.6365 0.524 7.5 6.0
20170804 8.81 2.04 1.64 1.62 0.75 9268.29 RTS115 0.6365 0.524 7.5 6.0
20170805 8.65 2.19 1.75 1.74 0.77 7407.01 RTS115 0.6365 0.524 7.5 6.0
20170729 5.58 1.68 1.47 1.39 0.46 14732.94 RTS116 0.1427 0.1427 6.0 3.0
20170730 5.81 1.8 1.57 1.51 0.55 14588.44 RTS116 0.1427 0.1427 6.0 3.0
20170731 5.19 1.59 1.45 1.26 0.52 16402.9 RTS116 0.1427 0.1427 6.0 3.0
20170801 7.36 1.58 1.36 1.3 0.51 16981.98 RTS116 0.1427 0.1427 6.0 3.0
20170802 6.37 1.61 1.37 1.33 0.5 15286.42 RTS116 0.1427 0.1427 6.0 3.0
20170803 6.35 1.63 1.49 1.3 0.5 16330.99 RTS116 0.1427 0.1427 6.0 3.0
20170804 5.17 1.63 1.57 1.3 0.48 16601.0 RTS116 0.1427 0.1427 6.0 3.0
20170805 5.95 1.68 1.57 1.32 0.54 13593.48 RTS116 0.1427 0.1427 6.0 3.0
20170729 10.57 1.92 1.81 1.4 0.69 14281.25 RTS118 0.5 0.5 11.0 3.0
20170730 8.34 2.06 1.95 1.52 0.64 15886.06 RTS118 0.5 0.5 11.0 3.0
20170731 8.73 1.91 1.81 1.37 0.66 16751.58 RTS118 0.5 0.5 11.0 3.0
20170801 8.35 1.86 1.71 1.35 0.68 16933.62 RTS118 0.5 0.5 11.0 3.0
20170802 10.45 1.87 1.76 1.35 0.7 15137.59 RTS118 0.5 0.5 11.0 3.0
20170803 7.38 1.91 1.74 1.4 0.67 17001.97 RTS118 0.5 0.5 11.0 3.0
20170804 11.49 1.86 1.74 1.35 0.69 17097.23 RTS118 0.5 0.5 11.0 3.0
20170805 7.74 1.9 1.83 1.35 0.73 14456.41 RTS118 0.5 0.5 11.0 3.0
20170729 9.22 2.99 2.95 2.62 0.62 5042.16 RTS119 0.7332 0.7207 9.0 6.0
20170730 9.78 3.11 3.11 2.7 0.71 5205.95 RTS119 0.7332 0.7207 9.0 6.0
20170731 9.98 3.07 3.12 2.67 0.61 5379.42 RTS119 0.7332 0.7207 9.0 6.0
20170801 15.43 3.03 2.61 2.59 0.68 5689.32 RTS119 0.7332 0.7207 9.0 6.0
20170802 9.36 2.96 2.91 2.61 0.61 5174.27 RTS119 0.7332 0.7207 9.0 6.0
20170803 7.04 2.7 2.32 2.31 0.68 7146.5 RTS119 0.7332 0.7207 9.0 6.0
20170804 7.03 2.67 2.56 2.39 0.59 7048.25 RTS119 0.7332 0.7207 9.0 6.0
20170805 9.0 2.87 2.7 2.62 0.54 5753.67 RTS119 0.7332 0.7207 9.0 6.0
20170729 10.07 2.71 2.24 2.23 0.7 5570.36 RTS120 0.5999 0.5999 6.0 3.0
20170730 10.65 2.82 2.37 2.32 0.66 5957.6 RTS120 0.5999 0.5999 6.0 3.0
20170731 10.14 2.81 2.35 2.34 0.69 6000.48 RTS120 0.5999 0.5999 6.0 3.0
20170801 13.74 2.66 2.19 2.18 0.78 6187.74 RTS120 0.5999 0.5999 6.0 3.0
20170802 10.94 2.64 2.18 2.17 0.74 5506.37 RTS120 0.5999 0.5999 6.0 3.0
20170803 11.01 2.73 2.28 2.27 0.72 6039.58 RTS120 0.5999 0.5999 6.0 3.0
20170804 6.99 2.6 2.15 2.14 0.72 6529.57 RTS120 0.5999 0.5999 6.0 3.0
20170805 10.35 2.68 2.23 2.22 0.64 5879.14 RTS120 0.5999 0.5999 6.0 3.0
20170729 7.55 1.71 1.74 1.26 0.54 16836.56 RTS123 0.25 0.25 8.0 3.0
20170730 7.88 1.82 1.82 1.37 0.51 18118.39 RTS123 0.25 0.25 8.0 3.0
20170731 7.78 1.67 1.7 1.2 0.53 19751.4 RTS123 0.25 0.25 8.0 3.0
20170801 8.56 1.71 1.72 1.25 0.52 19978.48 RTS123 0.25 0.25 8.0 3.0
20170802 5.9 1.71 1.71 1.25 0.53 17832.06 RTS123 0.25 0.25 8.0 3.0
20170803 7.04 1.73 1.79 1.26 0.54 19651.24 RTS123 0.25 0.25 8.0 3.0
20170804 7.26 1.74 1.76 1.28 0.52 20078.58 RTS123 0.25 0.25 8.0 3.0
20170805 7.69 1.75 1.74 1.34 0.51 17314.05 RTS123 0.25 0.25 8.0 3.0
20170729 10.6 1.63 1.48 1.46 0.67 10595.49 RTS125 0.3288 0.3038 11.0 6.0
20170730 12.07 1.75 1.62 1.56 0.66 11085.19 RTS125 0.3288 0.3038 11.0 6.0
20170731 11.22 1.56 1.3 1.28 0.68 11985.38 RTS125 0.3288 0.3038 11.0 6.0
20170801 10.74 1.58 1.31 1.29 0.72 12335.83 RTS125 0.3288 0.3038 11.0 6.0
20170802 11.31 1.55 1.25 1.24 0.7 10869.34 RTS125 0.3288 0.3038 11.0 6.0
20170803 11.46 1.59 1.31 1.28 0.63 12191.34 RTS125 0.3288 0.3038 11.0 6.0
20170804 12.34 1.64 1.4 1.38 0.71 12119.74 RTS125 0.3288 0.3038 11.0 6.0
20170805 7.85 1.71 1.58 1.52 0.66 10380.98 RTS125 0.3288 0.3038 11.0 6.0
20170729 10.71 2.64 2.69 2.0 0.73 10466.18 RTS126 0.236 0.211 8.5 5.5
20170730 12.26 2.8 2.95 2.09 0.8 10358.41 RTS126 0.236 0.211 8.5 5.5
20170731 8.69 2.57 2.95 1.86 0.79 11723.26 RTS126 0.236 0.211 8.5 5.5
20170801 15.31 2.63 2.63 1.98 0.75 12236.8 RTS126 0.236 0.211 8.5 5.5
20170802 11.65 2.73 2.87 2.02 0.77 10486.07 RTS126 0.236 0.211 8.5 5.5
20170803 11.24 2.69 2.87 1.98 0.78 11631.37 RTS126 0.236 0.211 8.5 5.5
20170804 10.72 2.75 2.87 2.06 0.76 11629.62 RTS126 0.236 0.211 8.5 5.5
20170805 15.87 2.7 2.84 1.98 0.88 10015.16 RTS126 0.236 0.211 8.5 5.5
20170729 5.14 2.19 2.08 2.06 0.25 8923.09 RTS127 0.0447 0.0447 6.0 3.0
20170730 5.48 2.26 2.19 1.96 0.31 9574.17 RTS127 0.0447 0.0447 6.0 3.0
20170731 5.0 2.07 1.94 1.89 0.29 10746.66 RTS127 0.0447 0.0447 6.0 3.0
20170801 6.23 2.07 1.96 1.91 0.29 11140.71 RTS127 0.0447 0.0447 6.0 3.0
20170802 3.73 1.68 1.68 1.47 0.23 12747.25 RTS127 0.0447 0.0447 6.0 3.0
20170803 5.57 2.04 1.96 1.83 0.29 11154.89 RTS127 0.0447 0.0447 6.0 3.0
20170804 4.17 1.89 1.85 1.69 0.27 12981.16 RTS127 0.0447 0.0447 6.0 3.0
20170805 4.71 2.05 1.98 1.91 0.29 10520.0 RTS127 0.0447 0.0447 6.0 3.0
20170729 6.87 2.13 2.15 1.34 0.69 18816.07 RTS130 0.2202 0.2202 6.0 3.0
20170730 8.04 2.21 2.15 1.6 0.66 19145.82 RTS130 0.2202 0.2202 6.0 3.0
20170731 6.08 2.07 2.05 1.46 0.59 21070.45 RTS130 0.2202 0.2202 6.0 3.0
20170801 6.21 2.11 2.19 1.41 0.66 21036.69 RTS130 0.2202 0.2202 6.0 3.0
20170802 7.34 2.0 2.16 1.27 0.67 20249.42 RTS130 0.2202 0.2202 6.0 3.0
20170803 7.51 2.04 2.06 1.3 0.67 21927.43 RTS130 0.2202 0.2202 6.0 3.0
20170804 6.6 1.93 1.99 1.23 0.66 22589.99 RTS130 0.2202 0.2202 6.0 3.0
20170805 7.94 1.95 1.95 1.22 0.71 18983.43 RTS130 0.2202 0.2202 6.0 3.0
20170729 6.17 2.05 1.64 1.62 0.67 8658.68 RTS132 0.2041 0.2041 6.0 3.0
20170730 7.03 2.18 1.74 1.72 0.71 8898.91 RTS132 0.2041 0.2041 6.0 3.0
20170731 7.77 2.26 1.85 1.83 0.57 9445.66 RTS132 0.2041 0.2041 6.0 3.0
20170801 7.71 2.35 1.86 1.84 0.75 8771.02 RTS132 0.2041 0.2041 6.0 3.0
20170802 8.66 2.3 1.81 1.8 0.78 7586.43 RTS132 0.2041 0.2041 6.0 3.0
20170803 7.16 2.01 1.56 1.54 0.82 8861.01 RTS132 0.2041 0.2041 6.0 3.0
20170804 6.55 2.05 1.61 1.59 0.81 8832.59 RTS132 0.2041 0.2041 6.0 3.0
20170805 7.3 2.14 1.67 1.66 0.85 7418.95 RTS132 0.2041 0.2041 6.0 3.0
20170729 6.75 1.05 0.82 0.77 0.57 25368.19 RTS136 0.125 0.125 10.0 3.0
