date max mean median min stdv sum topic n1 no st rt
20170731 15.64 5.08 4.89 3.38 0.95 52400.29 RTS116 0.2169 0.2169 12 11
20170801 19.75 5.01 4.78 2.68 0.9 53873.82 RTS116 0.2169 0.2169 12 11
20170802 18.8 5.03 4.81 2.71 1.0 47714.12 RTS116 0.2169 0.2169 12 11
20170803 16.61 5.14 4.81 3.45 1.01 51451.52 RTS116 0.2169 0.2169 12 11
20170804 16.48 5.09 4.75 2.84 0.94 51780.56 RTS116 0.2169 0.2169 12 11
20170805 13.1 5.16 5.01 3.45 0.99 41733.8 RTS116 0.2169 0.2169 12 11
20170729 16.81 5.54 5.25 2.11 1.34 41259.26 RTS118 0.5 0.5 18 10
20170730 17.49 5.75 5.48 2.46 1.37 44297.09 RTS118 0.5 0.5 18 10
20170731 16.04 5.51 5.27 3.48 1.3 48387.91 RTS118 0.5 0.5 18 10
20170801 17.5 5.42 5.17 3.45 1.27 49363.93 RTS118 0.5 0.5 18 10
20170802 16.77 5.45 5.22 3.46 1.31 44180.7 RTS118 0.5 0.5 18 10
20170803 16.07 5.47 5.21 3.5 1.22 48694.45 RTS118 0.5 0.5 18 10
20170804 21.68 5.44 5.19 3.46 1.22 49999.96 RTS118 0.5 0.5 18 10
20170805 16.12 5.48 5.28 3.45 1.39 41805.21 RTS118 0.5 0.5 18 10
20170729 18.96 6.45 6.05 4.36 1.26 10876.53 RTS119 0.662 0.5495 15 12
20170730 16.76 6.68 6.23 4.53 1.33 11178.17 RTS119 0.662 0.5495 15 12
20170731 16.34 6.5 6.11 4.42 1.27 11415.44 RTS119 0.662 0.5495 15 12
20170801 28.63 6.53 6.05 4.37 1.31 12245.16 RTS119 0.662 0.5495 15 12
20170802 16.41 6.42 6.07 4.39 1.25 11224.65 RTS119 0.662 0.5495 15 12
20170803 18.13 6.13 5.76 4.16 1.24 16240.9 RTS119 0.662 0.5495 15 12
20170804 15.48 6.08 5.84 4.22 1.11 16034.76 RTS119 0.662 0.5495 15 12
20170805 15.33 6.16 6.05 4.36 1.06 12363.45 RTS119 0.662 0.5495 15 12
20170729 19.05 6.16 5.67 4.09 1.29 12686.08 RTS120 0.5337 0.5337 12 10
20170730 20.61 6.42 5.9 2.41 1.33 13543.84 RTS120 0.5337 0.5337 12 10
20170731 16.42 6.36 5.79 4.19 1.25 13600.12 RTS120 0.5337 0.5337 12 10
20170801 23.33 6.21 5.64 4.07 1.31 14454.31 RTS120 0.5337 0.5337 12 10
20170802 17.16 6.22 5.64 4.08 1.36 12972.89 RTS120 0.5337 0.5337 12 10
20170803 19.51 6.24 5.73 4.14 1.21 13828.79 RTS120 0.5337 0.5337 12 10
20170804 13.74 6.18 5.61 4.05 1.21 15534.27 RTS120 0.5337 0.5337 12 10
20170805 16.55 6.22 5.66 4.09 1.2 13642.31 RTS120 0.5337 0.5337 12 10
20170729 17.63 5.43 5.18 2.99 1.29 53405.22 RTS123 0.375 0.375 19 10
20170730 18.15 5.57 5.35 1.76 1.28 55526.57 RTS123 0.375 0.375 19 10
20170731 19.77 5.25 5.15 2.63 1.26 62174.36 RTS123 0.375 0.375 19 10
20170801 26.77 5.34 5.17 2.67 1.26 62561.39 RTS123 0.375 0.375 19 10
20170802 15.43 5.32 5.19 2.94 1.23 55632.88 RTS123 0.375 0.375 19 10
20170803 17.25 5.37 5.25 3.0 1.28 60842.76 RTS123 0.375 0.375 19 10
20170804 17.5 5.36 5.22 2.69 1.26 61903.04 RTS123 0.375 0.375 19 10
20170805 16.46 5.38 5.18 3.46 1.27 53188.18 RTS123 0.375 0.375 19 10
20170729 20.39 5.36 4.92 3.53 1.23 34793.31 RTS125 0.4 0.375 22 12
20170730 21.62 5.34 5.11 2.91 1.23 33821.29 RTS125 0.4 0.375 22 12
20170731 25.62 5.08 4.71 3.41 1.23 39116.92 RTS125 0.4 0.375 22 12
20170801 20.64 5.13 4.73 3.42 1.26 40114.01 RTS125 0.4 0.375 22 12
20170802 21.21 5.09 4.68 3.39 1.24 35611.15 RTS125 0.4 0.375 22 12
20170803 25.86 5.19 4.76 2.69 1.18 39796.63 RTS125 0.4 0.375 22 12
20170804 26.94 5.28 4.83 3.5 1.29 38975.07 RTS125 0.4 0.375 22 12
20170805 18.87 5.25 4.98 3.59 1.22 31871.86 RTS125 0.4 0.375 22 12
20170729 20.58 6.29 6.09 3.94 1.48 24875.97 RTS126 0.2207 0.1957 17 12
20170730 25.1 6.56 6.48 4.11 1.61 24289.64 RTS126 0.2207 0.1957 17 12
20170731 17.75 6.1 5.56 3.85 1.45 27794.33 RTS126 0.2207 0.1957 17 12
20170801 24.83 6.22 6.06 3.94 1.45 28929.27 RTS126 0.2207 0.1957 17 12
20170802 21.83 6.36 6.29 3.98 1.49 24475.16 RTS126 0.2207 0.1957 17 12
20170803 24.09 6.32 6.32 3.95 1.43 27352.87 RTS126 0.2207 0.1957 17 12
20170804 19.82 6.35 6.31 4.01 1.42 26806.6 RTS126 0.2207 0.1957 17 12
20170805 25.13 6.45 6.48 3.93 1.58 23917.7 RTS126 0.2207 0.1957 17 12
20170729 13.94 5.71 5.53 3.97 1.05 23290.73 RTS127 0.2858 0.2858 12 12
20170730 16.26 5.86 5.59 1.42 1.1 24827.25 RTS127 0.2858 0.2858 12 12
20170731 13.65 5.56 5.4 3.04 0.99 28900.5 RTS127 0.2858 0.2858 12 12
20170801 16.62 5.67 5.43 3.9 1.07 30452.05 RTS127 0.2858 0.2858 12 12
20170802 12.57 5.21 4.92 3.56 0.83 39551.08 RTS127 0.2858 0.2858 12 12
20170803 16.17 5.59 5.31 3.84 0.98 30554.96 RTS127 0.2858 0.2858 12 12
20170804 13.22 5.4 5.15 3.73 0.97 37147.33 RTS127 0.2858 0.2858 12 12
20170805 13.37 5.63 5.42 3.87 1.1 28942.54 RTS127 0.2858 0.2858 12 12
20170729 19.62 6.09 5.59 3.44 1.98 53946.67 RTS130 0.1177 0.1177 12 12
20170730 22.14 6.11 5.4 3.53 1.79 52995.33 RTS130 0.1177 0.1177 12 12
20170731 19.5 5.79 5.26 2.97 1.56 58879.48 RTS130 0.1177 0.1177 12 12
20170801 19.51 5.87 5.44 3.51 1.68 58577.96 RTS130 0.1177 0.1177 12 12
20170802 23.21 5.86 5.18 3.4 1.82 59164.66 RTS130 0.1177 0.1177 12 12
20170803 23.42 5.82 5.37 3.43 1.76 62677.07 RTS130 0.1177 0.1177 12 12
20170804 16.76 5.66 5.45 3.38 1.63 66120.48 RTS130 0.1177 0.1177 12 12
20170805 18.16 5.69 5.41 3.34 1.68 55351.82 RTS130 0.1177 0.1177 12 12
20170729 16.1 5.68 5.07 3.24 1.26 24006.08 RTS132 0.1788 0.1788 12 12
20170730 17.64 5.97 6.03 3.83 1.26 24443.04 RTS132 0.1788 0.1788 12 12
20170731 20.13 5.97 6.02 3.83 1.19 24904.84 RTS132 0.1788 0.1788 12 12
20170801 18.31 6.04 5.32 3.84 1.45 22565.46 RTS132 0.1788 0.1788 12 12
20170802 21.31 6.03 5.27 3.81 1.49 19930.18 RTS132 0.1788 0.1788 12 12
20170803 16.33 5.59 5.02 3.63 1.4 24629.98 RTS132 0.1788 0.1788 12 12
20170804 16.2 5.66 5.06 3.66 1.42 24329.39 RTS132 0.1788 0.1788 12 12
20170805 19.43 5.81 5.12 3.7 1.53 20117.51 RTS132 0.1788 0.1788 12 12
20170729 17.19 4.55 4.07 2.27 1.14 109971.51 RTS136 0.1559 0.1559 17 10
20170730 16.14 4.65 4.18 0.77 1.23 115043.91 RTS136 0.1559 0.1559 17 10
20170731 20.61 4.53 4.06 1.56 1.29 132830.32 RTS136 0.1559 0.1559 17 10
20170801 16.59 4.48 4.07 1.56 1.2 133252.45 RTS136 0.1559 0.1559 17 10
20170802 20.98 4.52 4.09 1.6 1.2 115241.57 RTS136 0.1559 0.1559 17 10
20170803 16.64 4.41 4.0 1.56 1.11 137020.51 RTS136 0.1559 0.1559 17 10
20170804 23.35 4.44 3.98 1.57 1.15 136214.19 RTS136 0.1559 0.1559 17 10
20170805 20.62 4.59 4.02 1.62 1.27 114400.0 RTS136 0.1559 0.1559 17 10
20170729 22.28 5.8 5.5 2.14 1.35 23852.52 RTS138 0.3738 0.2988 20 12
20170730 20.44 5.38 5.36 1.8 1.41 40595.62 RTS138 0.3738 0.2988 20 12
20170731 17.81 5.94 5.64 3.96 1.28 24792.8 RTS138 0.3738 0.2988 20 12
20170801 17.75 5.67 5.22 2.95 1.33 27592.42 RTS138 0.3738 0.2988 20 12
20170802 17.77 5.94 5.68 3.05 1.32 24421.97 RTS138 0.3738 0.2988 20 12
20170803 17.6 5.89 5.59 3.07 1.21 28007.06 RTS138 0.3738 0.2988 20 12
20170804 21.59 5.94 5.66 3.96 1.25 26972.75 RTS138 0.3738 0.2988 20 12
