Silent date topic max mean median min stdv sum rt st
1 20160810 MB229 24.09 6.57 5.98 2.01 1.66 24152.7 9 12
1 20160810 MB229 24.09 6.57 5.98 2.01 1.66 24152.7 9 12
1 20160810 MB229 24.09 6.57 5.98 2.01 1.66 24152.7 9 12
1 20160810 MB229 24.09 6.57 5.98 2.01 1.66 24152.7 9 12
1 20160811 MB229 22.41 6.59 6.06 4.17 2.34 27498.99 9 12
1 20160811 MB229 22.41 6.59 6.06 4.17 2.34 27498.99 9 12
1 20160811 MB229 22.41 6.59 6.06 4.17 2.34 27498.99 9 12
1 20160811 MB229 22.41 6.59 6.06 4.17 2.34 27498.99 9 12
1 20160811 MB229 22.41 6.59 6.06 4.17 2.34 27498.99 9 12
0 20160802 MB230 15.64 5.85 5.47 2.27 1.1 35166.99 10 16
0 20160802 MB230 15.64 5.85 5.47 2.27 1.1 35166.99 10 16
0 20160802 MB230 15.64 5.85 5.47 2.27 1.1 35166.99 10 16
0 20160803 MB230 13.28 5.59 5.3 3.28 0.94 31044.35 10 16
0 20160803 MB230 13.28 5.59 5.3 3.28 0.94 31044.35 10 16
0 20160803 MB230 13.28 5.59 5.3 3.28 0.94 31044.35 10 16
0 20160804 MB230 13.85 5.78 5.37 3.92 1.03 27947.19 10 16
0 20160804 MB230 13.85 5.78 5.37 3.92 1.03 27947.19 10 16
0 20160804 MB230 13.85 5.78 5.37 3.92 1.03 27947.19 10 16
0 20160805 MB230 12.56 5.78 5.34 3.89 1.07 23590.12 10 16
0 20160805 MB230 12.56 5.78 5.34 3.89 1.07 23590.12 10 16
0 20160805 MB230 12.56 5.78 5.34 3.89 1.07 23590.12 10 16
1 20160806 MB230 11.51 5.95 5.74 3.33 1.01 27293.88 10 16
1 20160806 MB230 11.51 5.95 5.74 3.33 1.01 27293.88 10 16
1 20160806 MB230 11.51 5.95 5.74 3.33 1.01 27293.88 10 16
0 20160807 MB230 12.85 6.0 5.46 3.98 1.17 18742.05 10 16
0 20160807 MB230 12.85 6.0 5.46 3.98 1.17 18742.05 10 16
0 20160807 MB230 12.85 6.0 5.46 3.98 1.17 18742.05 10 16
0 20160808 MB230 14.68 6.29 5.98 2.1 1.13 18528.64 10 16
0 20160808 MB230 14.68 6.29 5.98 2.1 1.13 18528.64 10 16
0 20160808 MB230 14.68 6.29 5.98 2.1 1.13 18528.64 10 16
0 20160809 MB230 14.27 5.72 5.23 3.81 1.07 25311.47 10 16
0 20160809 MB230 14.27 5.72 5.23 3.81 1.07 25311.47 10 16
0 20160809 MB230 14.27 5.72 5.23 3.81 1.07 25311.47 10 16
0 20160810 MB230 15.17 5.83 5.37 2.56 1.05 34494.91 10 16
0 20160810 MB230 15.17 5.83 5.37 2.56 1.05 34494.91 10 16
0 20160810 MB230 15.17 5.83 5.37 2.56 1.05 34494.91 10 16
0 20160811 MB230 15.27 5.59 5.16 3.58 1.12 26268.14 10 16
0 20160811 MB230 15.27 5.59 5.16 3.58 1.12 26268.14 10 16
0 20160811 MB230 15.27 5.59 5.16 3.58 1.12 26268.14 10 16
0 20160802 MB239 15.8 5.91 5.47 3.16 1.26 24327.07 10 18
0 20160802 MB239 15.8 5.91 5.47 3.16 1.26 24327.07 10 18
0 20160802 MB239 15.8 5.91 5.47 3.16 1.26 24327.07 10 18
0 20160803 MB239 15.91 5.84 5.36 3.91 1.26 23542.8 10 18
0 20160803 MB239 15.91 5.84 5.36 3.91 1.26 23542.8 10 18
0 20160803 MB239 15.91 5.84 5.36 3.91 1.26 23542.8 10 18
0 20160804 MB239 15.24 5.84 5.34 3.06 1.26 21171.6 10 18
0 20160804 MB239 15.24 5.84 5.34 3.06 1.26 21171.6 10 18
0 20160804 MB239 15.24 5.84 5.34 3.06 1.26 21171.6 10 18
0 20160805 MB239 15.4 5.67 5.27 3.84 1.28 18943.51 10 18
0 20160805 MB239 15.4 5.67 5.27 3.84 1.28 18943.51 10 18
0 20160805 MB239 15.4 5.67 5.27 3.84 1.28 18943.51 10 18
0 20160806 MB239 13.77 6.18 5.68 4.17 1.29 18767.43 10 18
0 20160806 MB239 13.77 6.18 5.68 4.17 1.29 18767.43 10 18
0 20160806 MB239 13.77 6.18 5.68 4.17 1.29 18767.43 10 18
0 20160807 MB239 16.22 5.84 5.43 3.95 1.36 14889.23 10 18
0 20160807 MB239 16.22 5.84 5.43 3.95 1.36 14889.23 10 18
0 20160807 MB239 16.22 5.84 5.43 3.95 1.36 14889.23 10 18
1 20160808 MB239 15.61 6.37 5.84 2.44 1.38 13477.09 10 18
1 20160808 MB239 15.61 6.37 5.84 2.44 1.38 13477.09 10 18
1 20160808 MB239 15.61 6.37 5.84 2.44 1.38 13477.09 10 18
0 20160809 MB239 17.04 5.65 5.68 3.67 1.17 24232.55 10 18
0 20160809 MB239 17.04 5.65 5.68 3.67 1.17 24232.55 10 18
0 20160809 MB239 17.04 5.65 5.68 3.67 1.17 24232.55 10 18
1 20160810 MB239 23.84 5.97 6.35 2.2 1.32 27579.31 10 18
1 20160810 MB239 23.84 5.97 6.35 2.2 1.32 27579.31 10 18
1 20160810 MB239 23.84 5.97 6.35 2.2 1.32 27579.31 10 18
0 20160811 MB239 15.1 5.69 5.21 3.8 1.25 20789.65 10 18
0 20160811 MB239 15.1 5.69 5.21 3.8 1.25 20789.65 10 18
0 20160811 MB239 15.1 5.69 5.21 3.8 1.25 20789.65 10 18
1 20160802 MB254 15.51 6.63 6.11 4.47 1.18 15664.38 10 16
1 20160802 MB254 15.51 6.63 6.11 4.47 1.18 15664.38 10 16
1 20160802 MB254 15.51 6.63 6.11 4.47 1.18 15664.38 10 16
1 20160803 MB254 12.65 6.42 6.0 4.38 1.1 12694.87 10 16
1 20160803 MB254 12.65 6.42 6.0 4.38 1.1 12694.87 10 16
1 20160803 MB254 12.65 6.42 6.0 4.38 1.1 12694.87 10 16
0 20160804 MB254 15.35 6.45 6.06 4.42 1.14 11763.08 10 16
0 20160804 MB254 15.35 6.45 6.06 4.42 1.14 11763.08 10 16
0 20160804 MB254 15.35 6.45 6.06 4.42 1.14 11763.08 10 16
0 20160805 MB254 14.73 6.41 5.96 4.34 1.12 13371.51 10 16
0 20160805 MB254 14.73 6.41 5.96 4.34 1.12 13371.51 10 16
0 20160805 MB254 14.73 6.41 5.96 4.34 1.12 13371.51 10 16
0 20160806 MB254 12.21 6.93 6.44 3.87 1.26 11235.77 10 16
0 20160806 MB254 12.21 6.93 6.44 3.87 1.26 11235.77 10 16
0 20160806 MB254 12.21 6.93 6.44 3.87 1.26 11235.77 10 16
0 20160807 MB254 12.33 6.41 5.91 4.3 1.16 11216.15 10 16
0 20160807 MB254 12.33 6.41 5.91 4.3 1.16 11216.15 10 16
0 20160807 MB254 12.33 6.41 5.91 4.3 1.16 11216.15 10 16
0 20160808 MB254 13.52 7.07 6.57 3.81 1.25 8573.13 10 16
0 20160808 MB254 13.52 7.07 6.57 3.81 1.25 8573.13 10 16
0 20160808 MB254 13.52 7.07 6.57 3.81 1.25 8573.13 10 16
1 20160809 MB254 14.95 6.3 5.88 4.29 1.13 12821.4 10 16
1 20160809 MB254 14.95 6.3 5.88 4.29 1.13 12821.4 10 16
1 20160809 MB254 14.95 6.3 5.88 4.29 1.13 12821.4 10 16
0 20160810 MB254 13.01 6.72 6.32 4.64 1.21 13481.03 10 16
0 20160810 MB254 13.01 6.72 6.32 4.64 1.21 13481.03 10 16
0 20160810 MB254 13.01 6.72 6.32 4.64 1.21 13481.03 10 16
0 20160811 MB254 11.36 5.92 5.57 4.06 0.96 16594.23 10 16
0 20160811 MB254 11.36 5.92 5.57 4.06 0.96 16594.23 10 16
0 20160811 MB254 11.36 5.92 5.57 4.06 0.96 16594.23 10 16
1 20160802 MB256 26.47 6.46 5.27 1.31 2.44 82136.79 10 12
1 20160802 MB256 26.47 6.46 5.27 1.31 2.44 82136.79 10 12
1 20160802 MB256 26.47 6.46 5.27 1.31 2.44 82136.79 10 12
0 20160803 MB256 24.56 6.2 5.47 2.97 2.23 68881.42 10 12
0 20160803 MB256 24.56 6.2 5.47 2.97 2.23 68881.42 10 12
0 20160803 MB256 24.56 6.2 5.47 2.97 2.23 68881.42 10 12
1 20160804 MB256 20.48 6.09 5.21 3.59 2.12 63654.08 10 12
1 20160804 MB256 20.48 6.09 5.21 3.59 2.12 63654.08 10 12
1 20160804 MB256 20.48 6.09 5.21 3.59 2.12 63654.08 10 12
1 20160805 MB256 22.2 6.12 5.22 3.56 2.13 57844.17 10 12
1 20160805 MB256 22.2 6.12 5.22 3.56 2.13 57844.17 10 12
1 20160805 MB256 22.2 6.12 5.22 3.56 2.13 57844.17 10 12
1 20160806 MB256 28.36 6.45 5.89 1.75 2.16 54362.94 10 12
1 20160806 MB256 28.36 6.45 5.89 1.75 2.16 54362.94 10 12
1 20160806 MB256 28.36 6.45 5.89 1.75 2.16 54362.94 10 12
1 20160807 MB256 26.34 6.16 5.91 3.53 2.09 54829.12 10 12
1 20160807 MB256 26.34 6.16 5.91 3.53 2.09 54829.12 10 12
1 20160807 MB256 26.34 6.16 5.91 3.53 2.09 54829.12 10 12
1 20160808 MB256 22.27 6.54 5.51 1.34 2.26 48205.12 10 12
1 20160808 MB256 22.27 6.54 5.51 1.34 2.26 48205.12 10 12
1 20160808 MB256 22.27 6.54 5.51 1.34 2.26 48205.12 10 12
1 20160809 MB256 23.19 6.11 5.13 3.51 2.19 60054.07 10 12
1 20160809 MB256 23.19 6.11 5.13 3.51 2.19 60054.07 10 12
1 20160809 MB256 23.19 6.11 5.13 3.51 2.19 60054.07 10 12
1 20160810 MB256 22.6 6.16 5.29 2.06 2.14 68899.7 10 12
1 20160810 MB256 22.6 6.16 5.29 2.06 2.14 68899.7 10 12
1 20160810 MB256 22.6 6.16 5.29 2.06 2.14 68899.7 10 12
1 20160811 MB256 22.35 6.1 5.11 3.53 2.14 60139.65 10 12
1 20160811 MB256 22.35 6.1 5.11 3.53 2.14 60139.65 10 12
1 20160811 MB256 22.35 6.1 5.11 3.53 2.14 60139.65 10 12
1 20160802 MB258 22.84 4.94 4.48 2.58 1.2 57620.28 11 16
1 20160802 MB258 22.84 4.94 4.48 2.58 1.2 57620.28 11 16
1 20160802 MB258 22.84 4.94 4.48 2.58 1.2 57620.28 11 16
1 20160803 MB258 15.92 4.85 4.42 2.54 1.14 44694.39 11 16
1 20160803 MB258 15.92 4.85 4.42 2.54 1.14 44694.39 11 16
1 20160803 MB258 15.92 4.85 4.42 2.54 1.14 44694.39 11 16
1 20160804 MB258 16.79 4.83 4.4 3.21 1.15 45053.59 11 16
1 20160804 MB258 16.79 4.83 4.4 3.21 1.15 45053.59 11 16
1 20160804 MB258 16.79 4.83 4.4 3.21 1.15 45053.59 11 16
1 20160805 MB258 12.99 4.63 4.22 1.73 1.08 46637.11 11 16
1 20160805 MB258 12.99 4.63 4.22 1.73 1.08 46637.11 11 16
1 20160805 MB258 12.99 4.63 4.22 1.73 1.08 46637.11 11 16
1 20160806 MB258 13.75 5.11 4.65 1.94 1.21 40113.32 11 16
1 20160806 MB258 13.75 5.11 4.65 1.94 1.21 40113.32 11 16
1 20160806 MB258 13.75 5.11 4.65 1.94 1.21 40113.32 11 16
1 20160807 MB258 14.76 4.81 4.33 2.47 1.15 38702.97 11 16
1 20160807 MB258 14.76 4.81 4.33 2.47 1.15 38702.97 11 16
1 20160807 MB258 14.76 4.81 4.33 2.47 1.15 38702.97 11 16
1 20160808 MB258 17.04 5.16 4.66 2.71 1.2 35160.51 11 16
1 20160808 MB258 17.04 5.16 4.66 2.71 1.2 35160.51 11 16
