date max mean median min stdv sum topic n1 no st rt
20170731 18.53 7.74 7.54 6.72 0.9 79862.53 RTS116 0.1921 0.1921 17 11
20170801 25.99 7.69 7.42 6.43 0.82 82741.08 RTS116 0.1921 0.1921 17 11
20170802 24.81 7.75 7.43 6.47 1.0 73518.01 RTS116 0.1921 0.1921 17 11
20170803 24.81 7.78 7.6 6.78 0.96 77863.04 RTS116 0.1921 0.1921 17 11
20170804 19.21 7.77 7.7 6.76 0.82 78948.06 RTS116 0.1921 0.1921 17 11
20170805 17.98 7.83 7.7 6.81 0.91 63303.77 RTS116 0.1921 0.1921 17 11
20170729 22.69 8.25 7.98 6.6 1.4 61381.95 RTS118 0.375 0.375 26 14
20170730 25.63 8.41 8.14 6.72 1.4 64735.78 RTS118 0.375 0.375 26 14
20170731 24.02 8.23 7.99 6.88 1.43 72278.17 RTS118 0.375 0.375 26 14
20170801 25.93 8.15 7.87 6.85 1.4 74281.88 RTS118 0.375 0.375 26 14
20170802 25.06 8.17 7.86 6.84 1.44 66164.65 RTS118 0.375 0.375 26 14
20170803 23.97 8.19 7.91 6.91 1.31 72941.26 RTS118 0.375 0.375 26 14
20170804 24.15 8.13 7.87 6.85 1.28 74754.19 RTS118 0.375 0.375 26 14
20170805 24.07 8.21 7.87 6.85 1.47 62571.9 RTS118 0.375 0.375 26 14
20170729 22.75 9.32 8.98 8.33 1.05 15718.8 RTS119 0.8457 0.8457 20 20
20170730 22.43 9.49 9.15 8.42 1.32 15882.72 RTS119 0.8457 0.8457 20 20
20170731 22.63 9.41 9.16 8.39 1.14 16522.41 RTS119 0.8457 0.8457 20 20
20170801 40.68 9.38 9.17 8.3 1.19 17588.32 RTS119 0.8457 0.8457 20 20
20170802 22.0 9.28 8.94 8.32 0.99 16230.13 RTS119 0.8457 0.8457 20 20
20170803 20.6 8.99 8.66 7.99 1.11 23835.53 RTS119 0.8457 0.8457 20 20
20170804 18.92 8.95 8.65 8.08 0.93 23631.11 RTS119 0.8457 0.8457 20 20
20170805 21.63 9.13 8.98 8.34 0.82 18336.0 RTS119 0.8457 0.8457 20 20
20170729 27.83 9.01 8.48 7.9 1.09 18555.6 RTS120 0.5593 0.5593 17 10
20170730 28.05 9.15 8.62 7.24 1.13 19311.48 RTS120 0.5593 0.5593 17 10
20170731 22.81 9.14 9.04 8.02 1.03 19547.25 RTS120 0.5593 0.5593 17 10
